2025-04-19 21:54:14,061 - INFO - {'windowsizes': [120, 60], 'p_values': [0.37313788570631173, 0.4818096190582094], 'cointegration_vectors': [(0.24584132577370787, -0.6491919973605728), (0.20128611241233937, 5.4301434812946425)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.289807074284631, -2.064204692371964], 'adf_pvalues': [0.17527646976218597, 0.25914944034733833], 'residual_std': [1.6684173827772697, 1.5603544664136049]}
2025-04-19 21:54:14,091 - INFO - {'windowsizes': [120, 60], 'p_values': [0.7600048988025915, 0.024020720406342354], 'cointegration_vectors': [(0.16934014681021933, -3.061177455518833), (0.24261637965510305, -14.398081045158955)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.488893649134283, -3.147988303232283], 'adf_pvalues': [0.5389981629567755, 0.02319971694422466], 'residual_std': [1.532659646294527, 0.9659775417445283]}
2025-04-19 21:54:14,128 - INFO - {'windowsizes': [120, 60], 'p_values': [0.4789683336991315, 0.3040532120253977], 'cointegration_vectors': [(1.876460930147924, 92.18788410727201), (3.0034062463125384, 65.00538135097051)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.0836870818938884, -2.4338272655881887], 'adf_pvalues': [0.2511244963906003, 0.132415600645652], 'residual_std': [6.897515710142533, 5.828809803124263]}
2025-04-19 21:54:14,151 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6654139676974931, 0.27892253382533294], 'cointegration_vectors': [(1.1728536308689028, -8.57292726418243), (1.1790990959848067, -16.461233598964945)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.7162110240970894, -2.4891340926904233], 'adf_pvalues': [0.42278001823947386, 0.11814055163416554], 'residual_std': [9.499450432291539, 7.379153322683518]}
2025-04-19 21:54:14,181 - INFO - {'windowsizes': [120, 60], 'p_values': [0.2863647088739232, 0.015146882075500313], 'cointegration_vectors': [(24.429959788554914, 104.44744881568703), (51.1304456987109, 65.07744510656082)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.470102504989973, -3.747241116943667], 'adf_pvalues': [0.12291918632170917, 0.0034956577667539838], 'residual_std': [6.488200723932097, 4.250724808421299]}
2025-04-19 21:54:14,201 - INFO - {'windowsizes': [120, 60], 'p_values': [0.3377108240049759, 0.45589218222060707], 'cointegration_vectors': [(0.2602844165189949, 1.4256572302816768), (0.2236520143777148, 5.486750243807554)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.361658373248932, -2.1131643092385457], 'adf_pvalues': [0.15285166997112892, 0.2392542202369759], 'residual_std': [1.8128045098735235, 1.5031689187654607]}
2025-04-19 21:54:14,232 - INFO - {'windowsizes': [120, 60], 'p_values': [0.8104982906458333, 0.019470689914105284], 'cointegration_vectors': [(0.17445496011352374, -1.0016602980699991), (0.26752888773805605, -14.062744699990143)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.3443319942892709, -3.650155961142938], 'adf_pvalues': [0.6086543941820443, 0.004871457762489875], 'residual_std': [1.6423840418358433, 0.8752802620430262]}
2025-04-19 21:54:14,271 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6879652563622786, 0.07606046781718122], 'cointegration_vectors': [(1.2210645517526006, 4.024126763652284), (1.3891836811771845, -26.45312663603739)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.6660705740030084, -3.1440361043188854], 'adf_pvalues': [0.44867322242439106, 0.023461354479586978], 'residual_std': [10.244762085453536, 5.607168800031778]}
2025-04-19 21:54:14,291 - INFO - {'windowsizes': [120, 60], 'p_values': [0.1735483985966726, 0.5956887362377085], 'cointegration_vectors': [(0.9141670652365389, 75.86698770348882), (0.9430010142422487, 75.78922074259911)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.7591952632002665, -1.8439654078312229], 'adf_pvalues': [0.06434296514593732, 0.3588627143907917], 'residual_std': [3.7711323737874265, 3.3783899632355223]}
2025-04-19 21:54:14,311 - INFO - {'windowsizes': [120, 60], 'p_values': [0.9218706756264613, 0.8465915623810667], 'cointegration_vectors': [(0.5155891179502535, 3.5124447481274643), (0.7845882445809386, -6.348721470282702)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-0.876233398860556, -1.2299731732337502], 'adf_pvalues': [0.7956983216774192, 0.6605709715498199], 'residual_std': [1.6193578812212681, 1.6196975210606588]}
2025-04-19 21:54:14,340 - INFO - {'windowsizes': [120, 60], 'p_values': [0.6191279301308387, 0.33141989315178066], 'cointegration_vectors': [(0.6572938237154503, 16.34214128425926), (0.8339768639039276, 12.377096676200537)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.8130686444431758, -2.364182744102257], 'adf_pvalues': [0.37399304817116746, 0.15210173181061398], 'residual_std': [1.9021469632948602, 1.2706630236046814]}
2025-04-19 21:54:14,361 - INFO - {'windowsizes': [120, 60], 'p_values': [0.49795238979828976, 0.5060017759858904], 'cointegration_vectors': [(0.1543749196973207, 10.164692547923636), (0.14327776651401086, 12.490425820833513)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.049895235506824, -2.0044302829268124], 'adf_pvalues': [0.26513301144998, 0.28463395943143427], 'residual_std': [1.6897659021618625, 1.5629329810553778]}
2025-04-19 21:54:14,382 - INFO - {'windowsizes': [120, 60], 'p_values': [0.07410590113174306, 0.6961479374269438], 'cointegration_vectors': [(-0.12581519434156704, 41.30161911967957), (0.6060638180322323, 3.6800650212692383)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-3.1201443116485112, -1.535198429866419], 'adf_pvalues': [0.025097893209982926, 0.516032930270276], 'residual_std': [2.685303097102392, 2.0489566324281667]}
